timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2026/02/13 18:46:37.004, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:42.007, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
GH200 120GB, 0 %, 0 %, 97871 MiB, 9 MiB
2026/02/13 18:46:14.030, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 9 MiB
2026/02/13 18:46:19.033, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 9 MiB
2026/02/13 18:46:24.038, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 9 MiB
2026/02/13 18:46:29.041, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 9 MiB
2026/02/13 18:46:34.042, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 9 MiB
2026/02/13 18:46:39.045, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 9 MiB
 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:10.896, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:15.897, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:20.900, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:25.902, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:30.905, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:35.908, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:40.911, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:45.916, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:50.919, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:45:55.922, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:00.926, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:05.929, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:10.932, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:16.114, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:21.118, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:26.122, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:31.125, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:36.129, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
2026/02/13 18:46:41.132, 0, NVIDIA GH200 120GB, 0 %, 0 %, 97871 MiB, 1 MiB
