,Date,Volume tag,File number
182,03.07.2023 00:00,SX6250L6,28
183,04.07.2023 00:00,SX6250L6,50
184,05.07.2023 00:00,SX6251L6,6
185,06.07.2023 00:00,SX6251L6,28
186,07.07.2023 00:00,SX6251L6,50
187,08.07.2023 00:00,SX6254L6,6
188,09.07.2023 00:00,SX6254L6,28
189,10.07.2023 00:00,SX6254L6,50
190,11.07.2023 00:00,SX6255L6,6
191,12.07.2023 00:00,SX6255L6,28
192,13.07.2023 00:00,SX6255L6,50
193,14.07.2023 00:00,SX6257L6,6
194,15.07.2023 00:00,SX6257L6,28
195,16.07.2023 00:00,SX6257L6,50
196,17.07.2023 00:00,SX6258L6,3
197,18.07.2023 00:00,SX6258L6,25
198,19.07.2023 00:00,SX6258L6,47
199,20.07.2023 00:00,SX6258L6,69
200,21.07.2023 00:00,SX6245L6,20
201,22.07.2023 00:00,SX6245L6,42
202,23.07.2023 00:00,SX6245L6,64
203,24.07.2023 00:00,SX6259L6,18
204,25.07.2023 00:00,SX6259L6,39
205,26.07.2023 00:00,SX6259L6,60
206,27.07.2023 00:00,SX6246L6,11
207,28.07.2023 00:00,SX6246L6,32
208,29.07.2023 00:00,SX6246L6,54
209,30.07.2023 00:00,SX6247L6,6
210,31.07.2023 00:00,SX6247L6,28
211,01.08.2023 00:00,SX6247L6,50
212,02.08.2023 00:00,SX6482L6,0
213,03.08.2023 00:00,SX6482L6,22
214,04.08.2023 00:00,SX6482L6,44
215,05.08.2023 00:00,SX6482L6,66
216,06.08.2023 00:00,SX6483L6,20
217,07.08.2023 00:00,SX6483L6,42
218,08.08.2023 00:00,SX6483L6,64
219,09.08.2023 00:00,SX6484L6,18
220,10.08.2023 00:00,SX6484L6,40
221,11.08.2023 00:00,SX6484L6,62
222,12.08.2023 00:00,SX6485L6,14
223,13.08.2023 00:00,SX6485L6,34
224,14.08.2023 00:00,SX6485L6,54
225,15.08.2023 00:00,SX6487L6,7
226,16.08.2023 00:00,SX6487L6,29
227,17.08.2023 00:00,SX6487L6,51
228,18.08.2023 00:00,SX6488L6,6
229,19.08.2023 00:00,SX6488L6,28
230,20.08.2023 00:00,SX6488L6,50
231,21.08.2023 00:00,SX6489L6,6
232,22.08.2023 00:00,SX6489L6,27
233,23.08.2023 00:00,SX6489L6,49
234,24.08.2023 00:00,SX6505L6,6
235,25.08.2023 00:00,SX6505L6,28
236,26.08.2023 00:00,SX6505L6,50
237,27.08.2023 00:00,SX6506L6,5
238,28.08.2023 00:00,SX6506L6,27
239,29.08.2023 00:00,SX6506L6,49
240,30.08.2023 00:00,SX6507L6,4
241,31.08.2023 00:00,SX6507L6,26
242,01.09.2023 00:00,SX6507L6,47
243,02.09.2023 00:00,SX6516L6,1
244,03.09.2023 00:00,SX6516L6,23
245,04.09.2023 00:00,SX6516L6,45
246,05.09.2023 00:00,SX6516L6,67
247,06.09.2023 00:00,SX6517L6,17
248,07.09.2023 00:00,SX6517L6,39
249,08.09.2023 00:00,SX6517L6,60
250,09.09.2023 00:00,SX6655L6,11
251,10.09.2023 00:00,SX6655L6,33
252,11.09.2023 00:00,SX6655L6,55
253,12.09.2023 00:00,SX6656L6,6
254,13.09.2023 00:00,SX6656L6,28
255,14.09.2023 00:00,SX6656L6,50
256,15.09.2023 00:00,SX6657L6,6
257,16.09.2023 00:00,SX6657L6,28
258,17.09.2023 00:00,SX6657L6,48
259,18.09.2023 00:00,SX6658L6,5
260,19.09.2023 00:00,SX6658L6,27
261,20.09.2023 00:00,SX6658L6,49
262,21.09.2023 00:00,SX6645L6,5
263,22.09.2023 00:00,SX6645L6,27
264,23.09.2023 00:00,SX6645L6,49
265,24.09.2023 00:00,SX6646L6,5
266,25.09.2023 00:00,SX6646L6,27
267,26.09.2023 00:00,SX6646L6,49
268,27.09.2023 00:00,SX6648L6,5
269,28.09.2023 00:00,SX6648L6,27
270,29.09.2023 00:00,SX6648L6,49
271,30.09.2023 00:00,SX6647L6,5
272,01.10.2023 00:00,SX6647L6,26
273,02.10.2023 00:00,SX6647L6,48
274,03.10.2023 00:00,SX6490L6,5
275,04.10.2023 00:00,SX6490L6,27
276,05.10.2023 00:00,SX6490L6,49
277,06.10.2023 00:00,SX6491L6,5
278,07.10.2023 00:00,SX6491L6,27
279,08.10.2023 00:00,SX6491L6,49
280,09.10.2023 00:00,SX6494L6,5
281,10.10.2023 00:00,SX6494L6,27
282,11.10.2023 00:00,SX6494L6,49
